2900,939.00,982.00,"1,017.00","1,056.00","1,091.00","1,130.00","1,169.00","1,211.00","1,258.00","1,291.00","1,316.00","1,353.00","1,392.00","1,436.00","1,467.00","1,495.00","1,527.00","1,541.00","1,557.00",,,,,,,,,
3000,953.00,995.00,"1,032.00","1,073.00","1,110.00","1,152.00","1,189.00","1,235.00","1,282.00","1,315.00","1,342.00","1,378.00","1,419.00","1,465.00","1,495.00","1,529.00","1,557.00","1,576.00",,,,,,,,,,
3100,969.00,"1,015.00","1,050.00","1,091.00","1,127.00","1,170.00","1,211.00","1,256.00","1,306.00","1,339.00","1,365.00","1,405.00","1,447.00","1,493.00","1,530.00","1,560.00","1,590.00",,,,,,,,,,,
3200,983.00,"1,029.00","1,067.00","1,110.00","1,148.00","1,193.00","1,232.00","1,277.00","1,329.00","1,363.00","1,392.00","1,431.00","1,474.00","1,525.00","1,561.00","1,592.00",,,,,,,,,,,,
3300,996.00,"1,044.00","1,084.00","1,126.00","1,165.00","1,211.00","1,253.00","1,303.00","1,354.00","1,387.00","1,417.00","1,460.00","1,506.00","1,551.00","1,592.00","1,625.00",,,,,,,,,,,,
3400,"1,013.00","1,059.00","1,103.00","1,144.00","1,184.00","1,232.00","1,274.00","1,323.00","1,377.00","1,412.00","1,442.00","1,486.00","1,534.00","1,583.00","1,624.00",,,,,,,,,,,,,
3500,"1,024.00","1,075.00","1,118.00","1,163.00","1,205.00","1,253.00","1,296.00","1,344.00","1,401.00","1,438.00","1,467.00","1,513.00","1,561.00","1,611.00",,,,,,,,,,,,,,
3600,"1,039.00","1,092.00","1,134.00","1,181.00","1,222.00","1,271.00","1,316.00","1,366.00","1,424.00","1,462.00","1,492.00","1,538.00","1,589.00","1,643.00",,,,,,,,,,,,,,
3700,1053,1107,1152,1200,1242,1294,1337,1391,1447,1487,1517,1564,1619,,,,,,,,,,,,,,,
3800,1067,1121,1169,1216,1260,1314,1356,1412,1471,1511,1543,1590,1643,,,,,,,,,,,,,,,
