,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700
2600,"1,396.00","1,426.00","1,448.00","1,476.00","1,511.00","1,543.00","1,560.00","1,678.00","1,688.00","1,744.00","1,817.00","1,869.00","1,882.00","1,923.00","1,933.00","1,939.00","1,961.00","1,974.00","1,981.00","1,994.00","2,032.00","2,073.00",,,,,,
2700,"1,402.00","1,434.00","1,463.00","1,496.00","1,528.00","1,559.00","1,658.00","1,683.00","1,733.00","1,787.00","1,853.00","1,906.00","1,921.00","1,964.00","1,968.00","1,974.00","1,997.00","2,008.00","2,021.00","2,041.00","2,073.00",,,,,,,
2800,"1,418.00","1,455.00","1,476.00","1,515.00","1,545.00","1,673.00","1,682.00","1,732.00","1,779.00","1,829.00","1,888.00","1,941.00","1,961.00","1,999.00","2,004.00","2,015.00","2,031.00","2,041.00","2,060.00","2,070.00",,,,,,,,
2900,"1,426.00","1,465.00","1,493.00","1,528.00","1,555.00","1,699.00","1,706.00","1,782.00","1,824.00","1,871.00","1,924.00","1,976.00","2,000.00","2,034.00","2,040.00","2,049.00","2,062.00","2,078.00","2,100.00",,,,,,,,,
3000,"1,429.00","1,468.00","1,508.00","1,538.00","1,654.00","1,710.00","1,729.00","1,831.00","1,869.00","1,914.00","1,960.00","2,012.00","2,040.00","2,070.00","2,075.00","2,083.00","2,093.00","2,100.00","2,139.00",,,,,,,,,
3100,"1,438.00","1,481.00","1,510.00","1,609.00","1,667.00","1,723.00","1,753.00","1,881.00","1,915.00","1,956.00","1,995.00","2,047.00","2,079.00","2,105.00","2,110.00","2,119.00","2,135.00",,,,,,,,,,,
3200,"1,450.00","1,492.00","1,524.00","1,619.00","1,678.00","1,734.00","1,777.00","1,929.00","1,961.00","1,999.00","2,030.00","2,083.00","2,119.00","2,141.00","2,146.00","2,153.00","2,169.00",,,,,,,,,,,
3300,"1,460.00","1,506.00","1,579.00","1,637.00","1,689.00","1,747.00","1,801.00","1,979.00","2,005.00","2,042.00","2,066.00","2,119.00","2,158.00","2,177.00","2,182.00","2,187.00",,,,,,,,,,,,
3400,"1,477.00","1,518.00","1,596.00","1,649.00","1,702.00","1,758.00","1,824.00","2,028.00","2,051.00","2,081.00","2,102.00","2,154.00","2,197.00","2,212.00","2,217.00",,,,,,,,,,,,,
3500,"1,488.00","1,535.00","1,614.00","1,661.00","1,713.00","1,769.00","1,836.00","2,078.00","2,097.00","2,121.00","2,137.00","2,189.00","2,237.00","2,247.00",,,,,,,,,,,,,,
3600,"1,500.00","1,624.00","1,629.00","1,673.00","1,726.00","1,782.00","1,846.00","2,127.00","2,139.00","2,160.00","2,173.00","2,224.00","2,276.00",,,,,,,,,,,,,,,
3700,"1,512.00","1,649.00","1,658.00","1,681.00","1,737.00","1,793.00","1,871.00","2,164.00","2,182.00","2,200.00","2,208.00","2,261.00","2,320.00",,,,,,,,,,,,,,,
