,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000
3000,€809.20,€864.40,€917.20,€970.80,"€1,054.80","€1,108.80","€1,161.20","€1,215.20","€1,268.00","€1,351.20","€1,402.80","€1,457.60","€1,509.60","€1,840.00","€1,841.20","€2,042.80",€  -,€  -,€  -,€  -,€  -
3100,€819.60,€874.80,€928.80,€982.80,"€1,071.60","€1,125.60","€1,179.60","€1,233.60","€1,316.40","€1,370.40","€1,424.00","€1,480.80","€1,702.80","€1,866.80","€1,893.20",€  -,€  -,€  -,€  -,€  -,€  -
3200,€830.00,€885.20,€941.20,€996.80,"€1,084.80","€1,140.80","€1,195.60","€1,250.80","€1,335.20","€1,391.20","€1,446.40","€1,502.00","€1,726.40","€1,892.00",€  -,€  -,€  -,€  -,€  -,€  -,€  -
3300,€839.20,€896.00,€952.80,"€1,010.00","€1,100.00","€1,155.60","€1,212.40","€1,269.20","€1,354.80","€1,411.60","€1,467.60","€1,693.60","€1,766.00","€1,918.80",€  -,€  -,€  -,€  -,€  -,€  -,€  -
3400,€846.40,€906.80,€965.20,"€1,023.60","€1,115.20","€1,172.00","€1,228.80","€1,287.20","€1,376.00","€1,433.60","€1,488.40","€1,718.00","€1,791.60",€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -
3500,€858.80,€918.00,€977.20,"€1,036.80","€1,130.00","€1,186.80","€1,247.20","€1,307.60","€1,396.80","€1,455.60","€1,510.80","€1,740.00","€1,818.40",€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -
3600,€872.00,€932.00,€990.80,"€1,052.00","€1,143.20","€1,202.00","€1,265.20","€1,328.00","€1,419.20","€1,475.20","€1,532.00","€1,766.00",€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -
3700,€882.80,€941.20,"€1,001.20","€1,064.00","€1,158.80","€1,218.00","€1,281.20","€1,346.00","€1,439.20","€1,497.60","€1,552.80","€1,789.60",€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -
3800,€894.00,€951.20,"€1,016.00","€1,077.20","€1,176.40","€1,233.60","€1,298.00","€1,365.20","€1,461.20","€1,518.00","€1,575.60",€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -
3900,€908.00,€963.20,"€1,030.00","€1,093.20","€1,190.40","€1,250.00","€1,316.40","€1,383.60","€1,482.40","€1,542.80","€1,596.40",€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -
4000,€918.00,€972.40,"€1,043.20","€1,107.20","€1,203.60","€1,269.20","€1,334.00","€1,402.80","€1,507.60","€1,562.00","€1,618.80",€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -,€  -
